1-스테이지001`1 Stage`400001`1`1`10`0`0`5`910051`0;
1-스테이지002`1 Stage`400001`2`2`50`410001`0`0`910052`0;
1-스테이지003`2 Stage`400001`3`1`10`0`2`10`910051`0;
1-스테이지004`2 Stage`400001`4`2`50`410002`0`0`910052`0;
1-스테이지005`3 Stage`400001`5`1`10`0`2`10`910051`0;
1-스테이지006`3 Stage`400001`6`2`50`410003`0`0`910052`0;
1-스테이지007`4 Stage`400001`7`1`10`0`2`10`910051`0;
1-스테이지008`4 Stage`400001`8`2`50`410004`0`0`910052`0;
1-스테이지009`5 Stage`400001`9`1`10`0`2`10`910051`0;
1-스테이지010`5 Stage`400001`10`2`50`410005`0`0`910052`0;
1-스테이지011`6 Stage`400001`11`1`10`0`2`10`910051`0;
1-스테이지012`6 Stage`400001`12`2`50`410006`0`0`910052`0;
1-스테이지013`7 Stage`400001`13`1`10`0`2`10`910051`0;
1-스테이지014`7 Stage`400001`14`2`50`410007`0`0`910052`0;
1-스테이지015`8 Stage`400001`15`1`10`0`2`10`910051`0;
1-스테이지016`8 Stage`400001`16`2`50`410008`0`0`910052`0;
1-스테이지017`9 Stage`400001`17`1`10`0`2`10`910051`0;
1-스테이지018`9 Stage`400001`18`2`50`410009`0`0`910052`0;
1-스테이지019`10 Stage`400001`19`1`10`0`2`10`910051`0;
1-스테이지020`10 Stage`400001`20`2`50`410010`0`0`910052`0;
1-스테이지021`11 Stage`400001`21`1`10`0`2`10`910051`0;
1-스테이지022`11 Stage`400001`22`2`50`410011`0`0`910052`0;
1-스테이지023`12 Stage`400001`23`1`10`0`2`10`910051`0;
1-스테이지024`12 Stage`400001`24`2`50`0`0`0`910052`0;
1-스테이지025`13 Stage`400001`25`1`10`0`2`10`910051`0;
1-스테이지026`13 Stage`400001`26`2`50`0`0`0`910052`0;
1-스테이지027`14 Stage`400001`27`1`10`0`2`10`910051`0;
1-스테이지028`14 Stage`400001`28`2`50`0`0`0`910052`0;
1-스테이지029`15 Stage`400001`29`1`10`0`2`10`910051`0;
1-스테이지030`15 Stage`400001`30`2`50`0`0`0`910052`0;
1-스테이지031`16 Stage`400001`31`1`10`0`2`10`910051`0;
1-스테이지032`16 Stage`400001`32`2`50`0`0`0`910052`0;
1-스테이지033`17 Stage`400001`33`1`10`0`2`10`910051`0;
1-스테이지034`17 Stage`400001`34`2`50`0`0`0`910052`0;
1-스테이지035`18 Stage`400001`35`1`10`0`2`10`910051`0;
1-스테이지036`18 Stage`400001`36`2`50`0`0`0`910052`0;
1-스테이지037`19 Stage`400001`37`1`10`0`2`10`910051`0;
1-스테이지038`19 Stage`400001`38`2`50`0`0`0`910052`0;
1-스테이지039`20 Stage`400001`39`1`10`0`2`10`910051`0;
1-보스 스테이지`20 Stage`400001`40`3`120`0`0`0`910054`0;
